카테고리,번호,체크 항목,세부 점검 내용,합격 기준 / 목표 수치,담당자,기한,상태,비고
앱스토어 등록,1,앱 아이콘 제작 (1024x1024px),"- 1024x1024px PNG 파일 준비
- 투명 배경 없이 제작 (앱스토어 거부 사유)
- iOS / Android 각각 사이즈별 아이콘 세트 준비
- 경쟁 앱 아이콘과 차별화 여부 확인",iOS: 7가지 사이즈 / Android: 5가지 사이즈 모두 준비,,,,
앱스토어 등록,2,스크린샷 제작 (6.5인치 / 5.5인치),"- 6.5인치 (1284x2778px) 최소 3장 이상
- 5.5인치 (1242x2208px) 최소 3장 이상
- 핵심 기능 화면 포함 (AI 채팅 / 온보딩 / 주요 기능)
- 텍스트 오버레이로 기능 설명 추가
- 실제 앱 화면 캡처 사용 (가상 이미지 금지)",최소 3장 ~ 최대 10장 / 주요 기능 화면 100% 포함,,,,
앱스토어 등록,3,앱 이름 및 부제목 확정,"- 앱 이름 30자 이내 (앱스토어 제한)
- 부제목 30자 이내 키워드 포함
- 경쟁사 상표명 포함 여부 확인 (거부 사유)
- 국내외 동일 앱명 충돌 여부 확인
- 검색 노출 키워드 포함 여부 검토",앱 이름 30자 이내 / 부제목 30자 이내 / 상표 충돌 없음,,,,
앱스토어 등록,4,앱 설명문 작성 (한국어),"- 첫 3줄에 핵심 가치 제안 포함 (더보기 전 노출)
- 주요 기능 bullet point 형식으로 나열
- 타겟(20~30대 여성) 공감 언어 사용
- 금지 표현 없는지 확인 (타 앱 비교 / 과장 광고)
- 영어 버전 별도 작성 여부 결정",설명문 4000자 이내 / 첫 문단 핵심 메시지 포함,,,,
앱스토어 등록,5,키워드 설정 (ASO 최적화),"- 100자 키워드 필드 최대 활용 (쉼표로 구분 공백 없이)
- 앱 이름 / 설명문에 이미 포함된 키워드 중복 입력 금지
- 경쟁 앱 키워드 분석 후 공략 키워드 선정
- 검색량 높고 경쟁 낮은 키워드 우선
- 최소 월 1회 키워드 성과 분석 및 업데이트 계획 수립",100자 키워드 필드 90% 이상 활용 / 중복 키워드 없음,,,,
앱스토어 등록,6,연령 등급 설정,"- 앱 내 콘텐츠 기반 연령 등급 설문 정확히 작성
- AI 생성 콘텐츠 관련 항목 확인
- 채팅 기능 관련 등급 항목 확인
- 타겟(20~30대)에 맞는 등급 설정 여부 확인
- 등급 변경 시 재심사 필요 여부 인지",연령 등급 앱 콘텐츠와 일치 / 심사 거부 사유 없음,,,,
앱스토어 등록,7,카테고리 설정,"- 주 카테고리 선정 (소셜 네트워킹 / 엔터테인먼트 / 라이프스타일)
- 부 카테고리 선정
- 경쟁 앱 카테고리 분석 후 결정
- 카테고리 내 순위 경쟁 강도 확인",주/부 카테고리 각 1개 설정 완료,,,,
앱스토어 등록,8,앱 미리보기 영상 제작,"- 15~30초 분량 (앱스토어 권장)
- 실제 앱 사용 화면 캡처 기반 제작
- 첫 3초 내 핵심 기능 노출
- 소리 없이도 이해 가능한 구성 (자막 포함)
- MP4 형식 / 최소 1080p 해상도",15~30초 / 1080p 이상 / 핵심 기능 3초 내 노출,,,,
앱스토어 등록,9,앱스토어 심사 제출,"- 심사 전 테스트 계정 정보 제출 준비
- 심사 가이드라인 최종 검토 (특히 AI 콘텐츠 정책)
- 심사 소요 기간 감안한 제출 일정 확인 (평균 1~3일)
- 거부 시 대응 플랜 수립
- Android (Google Play) 동시 제출 여부 결정",심사 제출 완료 / 거부 대응 플랜 수립,,,,
기술/개발,10,프로덕션 서버 배포 및 점검,"- 스테이징 환경과 프로덕션 환경 분리 확인
- 서버 CPU / 메모리 사용률 정상 범위 확인
- 데이터베이스 연결 및 쿼리 응답 속도 확인
- 환경 변수 / 시크릿 키 프로덕션 값으로 교체 확인
- 서버 자동 재시작 설정 (PM2 / systemd 등)
- SSL 인증서 유효기간 확인 (최소 6개월 이상 남은 것)","서버 가동률 99.9% 이상 / CPU 60% 이하 / DB 응답 100ms 이하",,,,
